year,month,hour,time_range,death,injuries,Longitude,Latitude,total_people
2018,May,2,Night,NA,1,-79.4960237779999,43.689279281,1
2018,May,12,Afternoon,NA,NA,-79.509643319,43.7604764870001,0
2018,May,2,Night,NA,NA,-79.508951252,43.699376062,0
2018,May,3,Night,NA,NA,-79.39547075,43.7073532090001,0
2018,May,21,Evening,NA,NA,-79.210302396,43.7481752890001,0
2018,May,1,Night,NA,NA,-79.331986829,43.719439752,0
2018,May,21,Evening,NA,1,-79.2975402709999,43.7255849570001,1
2018,May,21,Evening,NA,1,-79.4473049859999,43.696332066,1
2018,May,16,Afternoon,NA,1,-79.4456193359999,43.723928555,1
2018,May,22,Evening,NA,NA,-79.2150820259999,43.7570045950001,0
2018,May,17,Afternoon,NA,NA,-79.286725068,43.700100013,0
