year,month,hour,time_range,death,injuries,Longitude,Latitude,total_people
2018,May,3,Night,NA,NA,-79.504882552,43.699322861,0
2018,May,15,Afternoon,NA,NA,-79.586595568,43.7371585760001,0
2018,May,17,Afternoon,NA,NA,-79.573208618,43.6764800010001,0
2018,May,20,Evening,1,NA,-79.378525145,43.648386187,1
2018,May,3,Night,1,1,-79.2161796619999,43.7754169070001,2
2018,May,22,Evening,NA,NA,-79.518811413,43.761912587,0
2018,May,21,Evening,NA,NA,-79.498074944,43.714638047,0
2018,May,20,Evening,NA,NA,-79.510393218,43.749211679,0
2018,May,10,Morning,NA,NA,-79.2314510909999,43.749874182,0
2018,May,NA,Night,NA,NA,-79.332998284,43.8005213000001,0
2018,May,14,Afternoon,NA,1,-79.513653097,43.741235257,1
